timestamp,flow_m3h,turbidity_ntu,uvt,lamp_power_pct,uv_intensity,uv_dose_mj_cm2,lamp_health_pct,anomaly_score,advisory,cusum_event
2026-04-25T06:00:00+00:00,100.158,0.273,77.091,68.95,53.588,30.073,97.5,0.089,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:05:00+00:00,101.362,0.353,75.906,71.63,53.511,28.076,96.5,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:10:00+00:00,106.856,0.508,77.888,67.78,53.994,29.5,95.9,0.101,No rule triggered.,False
2026-04-25T06:15:00+00:00,102.607,0.776,77.97,68.28,53.547,28.483,95.6,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:20:00+00:00,98.378,0.662,74.702,68.61,53.507,29.399,97.2,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:25:00+00:00,100.287,0.739,77.649,69.32,53.979,29.016,95.5,0.103,No rule triggered.,False
2026-04-25T06:30:00+00:00,105.318,0.603,77.298,72.46,54.265,27.8,95.4,0.049,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:35:00+00:00,102.447,0.215,78.81,71.82,52.011,29.331,96.4,0.107,No rule triggered.,False
2026-04-25T06:40:00+00:00,98.498,0.403,75.769,68.57,53.859,28.514,95.2,0.075,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:45:00+00:00,97.702,0.732,76.655,68.23,52.601,28.871,97.2,0.052,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:50:00+00:00,100.889,0.524,76.535,69.21,52.068,29.286,97.0,0.055,"Water is clear, save energy while staying compliant.",False
2026-04-25T06:55:00+00:00,102.019,0.362,78.232,68.9,52.631,28.901,95.4,0.033,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:00:00+00:00,98.95,0.495,77.769,69.87,54.942,30.293,97.8,0.05,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:05:00+00:00,104.142,0.717,77.819,69.99,52.301,29.141,96.6,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:10:00+00:00,100.781,0.668,75.481,69.39,52.269,28.298,97.0,0.036,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:15:00+00:00,103.608,0.631,76.073,69.68,51.343,28.895,96.9,0,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:20:00+00:00,103.327,0.572,75.415,72.76,52.575,29.211,96.7,0.088,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:25:00+00:00,103.313,0.62,75.987,72.34,52.165,28.448,96.1,0.046,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:30:00+00:00,98.592,0.239,79.182,73.0,53.345,29.792,96.9,0.025,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:35:00+00:00,103.344,0.332,76.682,68.21,54.127,29.179,96.8,0.095,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:40:00+00:00,98.961,0.433,75.615,71.16,53.712,29.116,97.9,0.063,"Water is clear, save energy while staying compliant.",False
2026-04-25T07:45:00+00:00,102.141,0.563,77.814,71.27,54.615,28.676,97.3,0.097,"Water is clear, save energy while staying compliant.",False
