ds,yhat,yhat_lower,yhat_upper
2026-04-27 15:40:36.470433,74.63944214369913,72.82008244532578,76.47289445048013
2026-04-27 16:40:36.470433,74.25100916582143,72.36626496326326,76.11172442055825
2026-04-27 17:40:36.470433,73.45795606534247,71.5813143046096,75.28744881063541
2026-04-27 18:40:36.470433,72.3303477493997,70.30993242023355,74.24282245918859
2026-04-27 19:40:36.470433,71.09918469274635,69.06482431526993,72.93438140250382
2026-04-27 20:40:36.470433,69.98580302642532,67.9891595284594,71.9283729085555
2026-04-27 21:40:36.470433,69.04999591386694,67.11506946025594,71.09190519595916
2026-04-27 22:40:36.470433,68.2034105970091,66.27418141280036,70.17789504476548
2026-04-27 23:40:36.470433,67.36965506693366,65.3316141419441,69.27884247438716
2026-04-28 00:40:36.470433,66.6262621112338,64.63030431090763,68.64844601194692
2026-04-28 01:40:36.470433,66.1820965875784,64.10995563284733,68.00800384662341
2026-04-28 02:40:36.470433,66.2084913508279,64.32093232580057,68.00034884983482
